iter	Passed	Remaining
403	9219	13601
404	9243	13579
405	9265	13555
406	9287	13531
407	9308	13506
408	9325	13475
409	9347	13450
410	9369	13427
411	9393	13406
412	9411	13376
413	9426	13342
414	9447	13316
415	9471	13295
416	9495	13276
417	9518	13252
418	9540	13229
419	9563	13206
420	9587	13186
421	9609	13162
422	9633	13140
423	9654	13115
424	9678	13093
425	9700	13071
426	9724	13049
427	9746	13025
428	9768	13002
429	9792	12980
430	9806	12946
431	9827	12920
432	9849	12897
433	9871	12873
434	9894	12851
435	9919	12831
436	9944	12812
437	9969	12791
438	9994	12771
439	10018	12751
440	10039	12726
441	10059	12700
442	10084	12679
443	10109	12659
444	10131	12636
445	10156	12615
446	10181	12595
447	10203	12572
448	10228	12552
449	10249	12527
450	10274	12507
451	10294	12481
452	10313	12453
453	10332	12425
454	10356	12404
455	10378	12381
456	10401	12358
457	10426	12338
458	10450	12317
459	10475	12296
460	10498	12274
461	10521	12251
462	10544	12230
463	10570	12211
464	10593	12188
465	10621	12170
466	10641	12144
467	10658	12115
468	10677	12089
469	10704	12070
470	10725	12046
471	10746	12021
472	10770	11999
473	10793	11977
474	10816	11955
475	10834	11926
476	10855	11902
477	10876	11877
478	10899	11854
479	10921	11831
480	10945	11809
481	10969	11789
482	10991	11765
483	11013	11742
484	11033	11715
485	11054	11691
486	11077	11669
487	11098	11644
488	11123	11624
489	11147	11602
490	11165	11574
491	11183	11547
492	11199	11518
493	11215	11487
494	11229	11456
495	11244	11426
496	11262	11398
497	11287	11378
498	11310	11356
499	11332	11332
500	11359	11313
501	11385	11294
502	11413	11277
503	11436	11254
504	11461	11234
505	11484	11212
506	11507	11190
507	11530	11167
508	11550	11141
509	11574	11120
510	11592	11093
511	11610	11066
512	11626	11036
513	11640	11006
514	11658	10979
515	11671	10947
516	11685	10917
517	11701	10887
518	11723	10864
519	11745	10842
520	11769	10821
521	11791	10798
522	11813	10774
523	11838	10754
524	11862	10732
525	11884	10709
526	11906	10686
527	11928	10663
528	11953	10642
529	11974	10618
530	11996	10595
531	12016	10570
532	12033	10543
533	12051	10516
534	12066	10487
535	12088	10464
536	12109	10440
537	12131	10417
538	12151	10392
539	12169	10366
540	12193	10344
541	12216	10322
542	12240	10302
543	12260	10276
544	12280	10252
545	12297	10225
546	12318	10201
547	12340	10178
548	12363	10156
549	12386	10134
550	12409	10111
551	12432	10090
552	12456	10069
553	12479	10046
554	12501	10023
555	12526	10003
556	12551	9982
557	12575	9960
558	12599	9939
559	12622	9917
560	12644	9894
561	12666	9872
562	12690	9850
563	12707	9823
564	12729	9800
565	12751	9777
566	12772	9754
567	12791	9729
568	12815	9706
569	12838	9685
570	12860	9662
571	12883	9639
572	12905	9617
573	12928	9594
574	12951	9573
575	12979	9554
576	13002	9532
577	13024	9509
578	13046	9485
579	13068	9463
580	13089	9439
581	13110	9416
582	13133	9393
583	13154	9369
584	13173	9345
585	13197	9323
586	13220	9301
587	13242	9278
588	13264	9255
589	13287	9233
590	13308	9210
591	13331	9188
592	13356	9167
593	13379	9145
594	13402	9123
595	13425	9100
596	13448	9078
597	13470	9055
598	13499	9037
599	13523	9015
600	13547	8993
601	13570	8972
602	13593	8949
603	13611	8924
604	13633	8901
605	13663	8883
606	13682	8858
607	13701	8833
608	13724	8811
609	13747	8789
610	13773	8769
611	13791	8743
612	13808	8717
613	13824	8690
614	13852	8671
615	13873	8648
616	13893	8624
617	13917	8602
618	13940	8580
619	13963	8558
620	13985	8535
621	14008	8513
622	14031	8490
623	14055	8469
624	14075	8445
625	14098	8423
626	14121	8400
627	14141	8376
628	14164	8354
629	14187	8332
630	14208	8308
631	14230	8286
632	14254	8264
633	14284	8246
634	14311	8226
635	14330	8201
636	14345	8175
637	14365	8150
638	14382	8125
639	14395	8097
640	14407	8069
641	14419	8040
642	14432	8013
643	14447	7986
644	14458	7957
645	14471	7930
646	14482	7901
647	14494	7873
648	14505	7845
649	14517	7816
650	14529	7789
651	14541	7761
652	14552	7732
653	14563	7704
654	14574	7676
655	14585	7648
656	14595	7619
657	14606	7591
658	14617	7563
659	14628	7535
660	14639	7508
661	14650	7480
662	14661	7452
663	14671	7424
664	14682	7396
665	14693	7368
666	14704	7341
667	14714	7313
668	14726	7286
669	14737	7258
670	14748	7231
671	14759	7204
672	14770	7176
673	14782	7150
674	14793	7122
675	14806	7096
676	14820	7070
677	14831	7043
678	14842	7016
679	14854	6990
680	14865	6963
681	14877	6936
682	14890	6911
683	14904	6885
684	14915	6858
685	14926	6832
686	14937	6805
687	14948	6778
688	14959	6752
689	14969	6725
690	14981	6699
691	14992	6673
692	15005	6647
693	15016	6621
694	15027	6594
695	15037	6568
696	15049	6542
697	15060	6515
698	15071	6490
699	15083	6464
700	15093	6437
701	15105	6412
702	15115	6386
703	15125	6359
704	15136	6333
705	15147	6307
706	15157	6281
707	15168	6256
708	15183	6231
709	15195	6206
710	15206	6180
711	15217	6155
712	15228	6129
713	15239	6104
714	15249	6078
715	15260	6052
716	15271	6027
717	15281	6002
718	15292	5976
719	15303	5951
720	15314	5926
721	15326	5901
722	15336	5875
723	15346	5850
724	15357	5825
725	15370	5801
726	15381	5776
727	15393	5751
728	15405	5726
729	15416	5701
730	15427	5677
731	15438	5652
732	15449	5627
733	15460	5602
734	15471	5578
735	15482	5553
736	15493	5528
737	15504	5504
738	15515	5479
739	15526	5455
740	15537	5430
741	15548	5406
742	15560	5382
743	15571	5357
744	15582	5333
745	15593	5309
746	15604	5284
747	15615	5260
748	15625	5236
749	15636	5212
750	15647	5187
751	15658	5163
752	15668	5139
753	15680	5115
754	15690	5091
755	15704	5068
756	15714	5044
757	15726	5020
758	15737	4997
759	15749	4973
760	15759	4949
761	15769	4925
762	15780	4901
763	15790	4877
764	15801	4854
765	15812	4830
766	15824	4807
767	15837	4784
768	15848	4760
769	15859	4737
770	15870	4713
771	15881	4690
772	15891	4666
773	15905	4644
774	15916	4620
775	15928	4597
776	15939	4574
777	15949	4551
778	15961	4528
779	15971	4504
780	15982	4481
781	15993	4458
782	16003	4435
783	16014	4412
784	16025	4389
785	16036	4366
786	16046	4342
787	16057	4320
788	16068	4297
789	16080	4274
790	16094	4252
791	16105	4229
792	16117	4207
793	16127	4184
794	16138	4161
795	16149	4138
796	16161	4116
797	16174	4094
798	16191	4073
799	16204	4051
800	16220	4029
801	16232	4007
802	16245	3985
803	16257	3963
804	16269	3940
805	16280	3918
806	16291	3896
807	16302	3873
808	16314	3851
809	16326	3829
810	16341	3808
811	16355	3786
812	16367	3764
813	16380	3742
814	16392	3720
815	16404	3699
816	16416	3677
817	16429	3655
818	16441	3633
819	16458	3612
820	16470	3590
821	16482	3569
822	16493	3547
823	16505	3525
824	16516	3503
825	16528	3481
826	16540	3460
827	16553	3438
828	16567	3417
829	16578	3395
830	16590	3374
831	16605	3352
832	16618	3331
833	16631	3310
834	16642	3288
835	16654	3267
836	16665	3245
837	16676	3223
838	16688	3202
839	16700	3180
840	16711	3159
841	16723	3138
842	16735	3116
843	16747	3095
844	16758	3073
845	16769	3052
846	16780	3031
847	16791	3009
848	16804	2988
849	16819	2968
850	16832	2947
851	16843	2925
852	16855	2904
853	16866	2883
854	16878	2862
855	16890	2841
856	16901	2820
857	16913	2799
858	16924	2778
859	16935	2757
860	16947	2735
861	16958	2714
862	16969	2693
863	16981	2673
864	16995	2652
865	17006	2631
866	17018	2610
867	17030	2589
868	17041	2568
869	17051	2547
870	17062	2527
871	17072	2506
872	17084	2485
873	17096	2464
874	17106	2443
875	17117	2423
876	17129	2402
877	17140	2381
878	17151	2361
879	17163	2340
880	17176	2320
881	17188	2299
882	17199	2279
883	17210	2258
884	17222	2237
885	17233	2217
886	17245	2196
887	17255	2176
888	17266	2155
889	17278	2135
890	17289	2115
891	17300	2094
892	17311	2074
893	17322	2053
894	17333	2033
895	17344	2013
896	17357	1993
897	17368	1972
898	17379	1952
899	17390	1932
900	17401	1912
901	17413	1891
902	17424	1871
903	17434	1851
904	17445	1831
905	17457	1811
906	17469	1791
907	17480	1771
908	17491	1751
909	17502	1730
910	17514	1711
911	17525	1691
912	17540	1671
913	17551	1651
914	17562	1631
915	17573	1611
916	17583	1591
917	17595	1571
918	17606	1551
919	17617	1531
920	17628	1512
921	17639	1492
922	17650	1472
923	17660	1452
924	17671	1432
925	17681	1413
926	17692	1393
927	17703	1373
928	17715	1353
929	17728	1334
930	17739	1314
931	17751	1295
932	17762	1275
933	17773	1255
934	17784	1236
935	17796	1216
936	17809	1197
937	17819	1177
938	17830	1158
939	17841	1138
940	17854	1119
941	17865	1100
942	17877	1080
943	17889	1061
944	17899	1041
945	17911	1022
946	17923	1003
947	17934	983
948	17946	964
949	17958	945
950	17969	925
951	17980	906
952	17991	887
953	18003	868
954	18014	848
955	18027	829
956	18039	810
957	18050	791
958	18061	772
959	18073	753
960	18084	733
961	18096	714
962	18107	695
963	18118	676
964	18130	657
965	18141	638
966	18153	619
967	18163	600
968	18175	581
969	18186	562
970	18196	543
971	18208	524
972	18219	505
973	18230	486
974	18242	467
975	18254	448
976	18267	430
977	18278	411
978	18290	392
979	18303	373
980	18314	354
981	18324	335
982	18336	317
983	18347	298
984	18358	279
985	18370	260
986	18382	242
987	18392	223
988	18403	204
