iter	Logloss
0	0.5892617075
1	0.48847816
2	0.4300749186
3	0.3695691434
4	0.3223765214
5	0.2929538469
6	0.2638678408
7	0.2437154894
8	0.2242776547
9	0.2099885097
10	0.1942072514
11	0.1805971447
12	0.1724120209
13	0.1621695866
14	0.1541840553
15	0.145347324
16	0.1407232992
17	0.137572411
18	0.1300408165
19	0.1255020368
20	0.1236271885
21	0.118690484
22	0.1170799681
23	0.1153559069
24	0.1131863016
25	0.1102764369
26	0.1074099956
27	0.1047392127
28	0.101499205
29	0.1000509624
30	0.09821862894
31	0.09665936014
32	0.09496920147
33	0.09255112195
34	0.09110212744
35	0.0898199414
36	0.08846686805
37	0.08665832709
38	0.08616556069
39	0.08538969354
40	0.08387294945
41	0.08350271635
42	0.08197072093
43	0.08094452355
44	0.07819842387
45	0.0777479011
46	0.07708680094
47	0.07604843385
48	0.0755939518
49	0.07351904501
50	0.07194533734
51	0.07111829418
52	0.07028371614
53	0.06934222564
54	0.06889532433
55	0.06827898828
56	0.0676701976
57	0.06636186079
58	0.06528384753
59	0.06478329062
60	0.06318712694
61	0.06259704485
62	0.06143006889
63	0.06080920881
64	0.06021092648
65	0.05946534406
66	0.05841553103
67	0.05779903393
68	0.0572478203
69	0.05628292447
70	0.05544166476
71	0.05509858781
72	0.05456874693
73	0.05339927072
74	0.05267549081
75	0.05241213985
76	0.05180626701
77	0.05152399509
78	0.05121462463
79	0.05096235706
80	0.05015970528
81	0.04981593773
82	0.04916951365
83	0.04894082151
84	0.04864627065
85	0.04839108536
86	0.0476350979
87	0.04734571821
88	0.04682535216
89	0.04604660307
90	0.04574142097
91	0.04499695514
92	0.04462141749
93	0.04432311022
94	0.04414634431
95	0.04354198253
96	0.04275922873
97	0.04230224721
98	0.04198257275
99	0.04165954114
100	0.04144174013
101	0.04088745455
102	0.04056761593
103	0.03980191862
104	0.0393939195
105	0.03917964956
106	0.03905255195
107	0.03869095115
108	0.0380636758
109	0.03757838408
110	0.03676752729
111	0.03638660525
112	0.03596213226
113	0.03537334519
114	0.03502289571
115	0.03489577781
116	0.03463839397
117	0.03455662881
118	0.03419330836
119	0.03407828408
120	0.03396278956
121	0.03390372914
122	0.03365407263
123	0.03329605586
124	0.03280993073
125	0.03270228862
126	0.03222394835
127	0.0318762098
128	0.03161252821
129	0.0315385521
130	0.03035095173
131	0.03029811969
132	0.03027426986
133	0.02987848041
134	0.02959662295
135	0.02953208633
136	0.02945425079
137	0.02895307567
138	0.02862771973
139	0.02809414435
140	0.02777767504
141	0.02767364342
142	0.02755344142
143	0.02740304306
144	0.02720234149
145	0.02696399731
146	0.02665731029
147	0.02652335666
148	0.02648386076
149	0.02642591538
150	0.02638560906
151	0.026320046
152	0.02626911481
153	0.0260727598
154	0.02580936842
155	0.02577253889
156	0.02558950236
157	0.02554079212
158	0.02541837257
159	0.0251767717
160	0.02494953101
161	0.02482848171
162	0.02464366569
163	0.02455369199
164	0.02420230774
165	0.02404309624
166	0.02366774074
167	0.02350947936
168	0.02296057234
169	0.02288611366
170	0.02280177608
171	0.02275313426
172	0.02265402365
173	0.02262141039
174	0.02260579428
175	0.02244995091
176	0.0223160559
177	0.02221140425
178	0.02211453245
179	0.02163878636
180	0.02104311304
181	0.02092116884
182	0.02086260924
183	0.02074960196
184	0.02070625822
185	0.02067014004
186	0.02050276636
187	0.02043320653
188	0.02028254222
189	0.02012698034
190	0.01965851589
191	0.01949360456
192	0.01918925853
193	0.01861715247
194	0.01854898301
195	0.01850632766
196	0.01833434551
197	0.01819121712
198	0.01805822303
199	0.01800152106
200	0.01783407591
201	0.01774626438
202	0.01763536573
203	0.01754759794
204	0.0173659388
205	0.01720280563
206	0.01711800691
207	0.01711234163
208	0.01700910535
209	0.01695658707
210	0.0168499696
211	0.0167829647
212	0.01671114494
213	0.01667827632
214	0.01650355882
215	0.01649207829
216	0.01624017389
217	0.01623028678
218	0.0161949799
219	0.0161362308
220	0.01604431169
221	0.01572802793
222	0.01561479209
223	0.01539213627
224	0.01499636146
225	0.01496417826
226	0.01492441242
227	0.01478004775
228	0.01476726983
229	0.01474974361
230	0.01464182794
231	0.01458646345
232	0.01456342903
233	0.01452726022
234	0.01450499819
235	0.01444453677
236	0.01416245705
237	0.01412572708
238	0.01407054678
239	0.01392783681
240	0.01374412365
241	0.01366992374
242	0.01365165257
243	0.01364498806
244	0.01360846473
245	0.01351717464
246	0.01346351379
247	0.01338675205
248	0.01311193611
249	0.01309177309
250	0.01298962464
251	0.01286783608
252	0.01284779052
253	0.01282903139
254	0.01280638527
255	0.01279746484
256	0.01278242228
257	0.01276855237
258	0.01274755318
259	0.01256406503
260	0.01254520895
261	0.01254036186
262	0.01245810696
263	0.01245365687
264	0.01235697542
265	0.01235387153
266	0.0123309413
267	0.01229870112
268	0.01211651849
269	0.01211533311
270	0.01210168472
271	0.01201433718
272	0.01200258657
273	0.0119908044
274	0.01193250218
275	0.0119126449
276	0.01183550474
277	0.01180230312
278	0.01169092522
279	0.01161824107
280	0.01159746823
281	0.0115861988
282	0.01158147618
283	0.01149271589
284	0.01148351438
285	0.01140235337
286	0.01113659664
287	0.01112456463
288	0.01111362636
289	0.01105532451
290	0.01093862966
291	0.01090036906
292	0.01087989953
293	0.01086601655
294	0.01085368478
295	0.01078828079
296	0.0107724
297	0.01075104524
298	0.01074171629
299	0.01072236611
300	0.0105206208
301	0.0104965488
302	0.01040672793
303	0.0103897979
304	0.01038352691
305	0.01035172163
306	0.01023942424
307	0.01022899327
308	0.01015948101
309	0.0101517937
310	0.01014581255
311	0.01013618628
312	0.01000205688
313	0.01000194645
314	0.009982806574
315	0.009943462867
316	0.009925867138
317	0.009916950905
318	0.009909684898
319	0.009863156393
320	0.009850915642
321	0.009842758072
322	0.009787756703
323	0.009754897939
324	0.009745059805
325	0.009739115489
326	0.009628856089
327	0.009624352971
328	0.009524957977
329	0.009516836926
330	0.00950686074
331	0.009452244829
332	0.009445524584
333	0.009377933066
334	0.009370603807
335	0.009331793239
336	0.009318427056
337	0.009305521415
338	0.009259908317
339	0.009253051765
340	0.009213127952
341	0.009179023762
342	0.009172685768
343	0.009101082602
344	0.00909131289
345	0.009083981532
346	0.009072007376
347	0.009068599588
348	0.009065613953
349	0.009054030675
350	0.009034874028
351	0.009031357695
352	0.00890383302
353	0.008847944652
354	0.008841671999
355	0.008831835913
356	0.00882677197
357	0.008817688001
358	0.008813550574
359	0.008781559383
360	0.008774705011
361	0.008752364089
362	0.008710955064
363	0.008704542866
364	0.008682152067
365	0.008680237609
366	0.00866517809
367	0.008655195053
368	0.008654689103
369	0.008634643706
370	0.008583898333
371	0.008580052605
372	0.008542677284
373	0.008541588126
374	0.008534664471
375	0.008525266235
376	0.008478207318
377	0.008463071487
378	0.008456302486
379	0.00839051576
380	0.008385237046
381	0.008380708895
382	0.008353513574
383	0.008080532153
384	0.008074829004
385	0.008067352222
386	0.008053286736
387	0.008021289837
388	0.00800578348
389	0.00800027364
390	0.007993970984
391	0.007928440697
392	0.007919315766
393	0.00791391786
394	0.007843910319
395	0.00782956396
396	0.007824955693
397	0.007784630642
398	0.007746277016
399	0.007723464459
400	0.007718212598
401	0.00770055619
402	0.007694586936
403	0.007683489644
404	0.007526630946
405	0.007489121962
406	0.007488762115
407	0.007478873355
408	0.007471318257
409	0.007466091765
410	0.007434276056
411	0.007419607916
412	0.007416626346
413	0.007411824259
414	0.007406770212
415	0.007404073055
416	0.007350973431
417	0.007347970276
418	0.00734213477
